סמינרים,,,,,,
אחר,,,סמל מוסד,,,
,,,,,,3183.0
,,,,,,3184.0
,,,,,,3185.0
,,,,,,3186.0
,,,,,,3187.0
,,,,,,3188.0
,,,,,,3189.0
,,,,,,3190.0
,,,,,,3191.0
,,,,,,3192.0
,,,,,,3193.0
,,,,,,3194.0
,,,,,,3195.0
,,,,,,3196.0
,,,,,,3197.0
,,,,,,3198.0
,,,,,,3199.0
,,,,,,3200.0
,,,,,,3201.0
,,,,,,3202.0
,,,,,,3203.0
,,,,,,3204.0
,,,,,,3205.0
,,,,,,3206.0
,,,,,,3207.0
,,,,,,3208.0
,,,,,,3209.0
,,,,,,4001.0
,,,,,,4002.0
,,,,,,4003.0
,,,,,,4004.0
,,,,,,4005.0
,,,,,,4006.0
,,,,,,4007.0
,,,,,,4008.0
,,,,,,4009.0
,,,,,,4010.0
,,,,,,4011.0
,,,,,,4012.0
,,,,,,4013.0
,,,,,,4014.0
,,,,,,4015.0
,,,,,,4016.0
,,,,,,4017.0
,,,,,,4018.0
,,,,,,4019.0
,,,,,,4020.0
,,,,,,4021.0
,,,,,,4022.0
,,,,,,4023.0
,,,,,,4024.0
,,,,,,4025.0
,,,,,,4026.0
,,,,,,4027.0
,,,,,,4028.0
,,,,,,4029.0
,,,,,,4030.0
,,,,,,4031.0
,,,,,,4032.0
,,,,,,4033.0
,,,,,,4034.0
,,,,,,4035.0
,,,,,,4036.0
,,,,,,4037.0
,,,,,,4038.0
,,,,,,4039.0
,,,,,,4040.0
,,,,,,4041.0
,,,,,,4042.0
,,,,,,4043.0
,,,,,,4044.0
,,,,,,4045.0
,,,,,,4046.0
,,,,,,4047.0
,,,,,,4048.0
,,,,,,4049.0
,,,,,,4050.0
,,,,,,4051.0
,,,,,,4052.0
,,,,,,4053.0
,,,,,,4054.0
,,,,,,4055.0
,,,,,,4056.0
,,,,,,4057.0
,,,,,,4058.0
,,,,,,4059.0
,,,,,,4060.0
,,,,,,4061.0
,,,,,,4062.0
,,,,,,4063.0
,,,,,,4064.0
,,,,,,4065.0
,,,,,,4066.0
,,,,,,4067.0
,,,,,,4068.0
,,,,,,4069.0
,,,,,,4070.0
,,,,,,4071.0
,,,,,,4072.0
,,,,,,4073.0
,,,,,,4074.0
,,,,,,4075.0
,,,,,,4076.0
,,,,,,4077.0
,,,,,,4078.0
,,,,,,4079.0
,,,,,,5001.0
,,,,,,5002.0
,,,,,,5003.0
,,,,,,5004.0
,,,,,,5005.0
,,,,,,5006.0
,,,,,,5007.0
,,,,,,5008.0
,,,,,,5009.0
,,,,,,5010.0
,,,,,,5011.0
,,,,,,5012.0
,,,,,,5013.0
,,,,,,5014.0
,,,,,,5015.0
,,,,,,5016.0
,,,,,,5017.0
,,,,,,5018.0
,,,,,,5019.0
,,,,,,5020.0
,,,,,,6001.0
,,,,,,6002.0
,,,,,,6003.0
,,,,,,6004.0
,,,,,,6005.0
,,,,,,6006.0
,,,,,,6007.0
,,,,,,6008.0
,,,,,,6009.0
,,,,,,6010.0
,,,,,,6011.0
,,,,,,6012.0
,,,,,,6013.0
,,,,,,6014.0
,,,,,,6015.0
,,,,,,6016.0
,,,,,,6017.0
,,,,,,6018.0
,,,,,,6019.0
,,,,,,6020.0
,,,,,,6021.0
